dc_key,dispatch_date,dispatch_time,location_block,text_general_code
202122011385,2021-02-27,16:26:00,2000 BLOCK N WOODSTOCK ST,Other Assaults
202125001941,2021-01-10,10:14:50,4700 BLOCK WHITAKER AV,Robbery No Firearm
202115010675,2021-02-12,19:15:59,6500 BLOCK HEGERMAN ST,All Other Offenses
202109006504,2021-03-09,14:54:38,1500 BLOCK CHESTNUT ST,Other Assaults
202114007950,2021-02-14,17:25:18,5300 BLOCK BELFIELD AV,Aggravated Assault Firearm
202106006702,2021-02-18,17:35:00,1200 BLOCK RACE ST,Thefts
202119001701,2021-01-10,09:28:53,N 52ND ST  /  LANCASTER AV,Aggravated Assault Firearm
202109004485,2021-02-16,21:11:00,2100 BLOCK LOCUST ST,All Other Offenses
202103001389,2021-01-10,09:52:00,900 BLOCK SOUTH ST,Theft from Vehicle
202122021612,2021-04-14,13:51:00,2400 BLOCK W HAROLD ST,Motor Vehicle Theft
202139019855,2021-04-15,18:08:00,STOKLEY ST & W ABBOTTSFORD AV ,Motor Vehicle Theft
202105004509,2021-04-09,09:47:00,4600 BLOCK SHELDON ST,Motor Vehicle Theft
202103007041,2021-02-14,15:27:00,2900 BLOCK S CHRISTOPHER COLUMBUS BLVD,Thefts
202102014078,2021-04-07,07:44:00,ROOSEVELT INN @ 7600 E ROOSEVELT BLVD ,Theft from Vehicle
202125018652,2021-03-29,07:18:27,3600 BLOCK N BROAD ST,Burglary Non-Residential
202124013078,2021-02-27,16:32:34,1900 BLOCK CLARENCE ST,Arson
202124005930,2021-01-25,18:36:34,1800 BLOCK TORRESDALE AV,Robbery No Firearm
202106010061,2021-03-13,20:07:00,0 BLOCK N 12TH ST,Motor Vehicle Theft
202139008154,2021-02-15,18:53:00,5500 BLOCK WISSAHICKON AVE,Thefts
202103001413,2021-01-10,12:32:47,1400 BLOCK S WATER ST,Theft from Vehicle
202115002503,2021-01-11,02:35:00,7700 BLOCK FRANKFORD AV,Thefts
202102001399,2021-01-10,23:14:00,7300 BLOCK E ROOSEVELT BLVD,Thefts
202125000017,2021-01-01,00:41:00,3300 BLOCK F ST,Robbery No Firearm
202115006633,2021-01-26,18:30:00,4600 BLOCK WELLINGTON ST,Theft from Vehicle
202103003852,2021-01-25,07:04:43,1900 BLOCK S FRONT ST,Theft from Vehicle
202122021348,2021-04-13,12:37:00,3300 BLOCK W GIRARD AV,Motor Vehicle Theft
202139019690,2021-04-14,21:16:00,2000 BLOCK NEWCOMB ST,Motor Vehicle Theft
202139001683,2021-01-10,18:39:25,1400 BLOCK W LYCOMING ST,Robbery No Firearm
202135002393,2021-01-10,05:01:00,N 12TH ST  /  LINDLEY AV,Thefts
202109000873,2021-01-10,16:44:00,100 BLOCK N BROAD ST,Thefts
202116005289,2021-02-14,02:16:00,400 BLOCK N 32ND ST,Burglary Residential
202106004011,2021-01-30,17:31:50,400 BLOCK RANSTEAD ST,Theft from Vehicle
202125000259,2021-01-02,09:25:17,3400 BLOCK N BROAD ST,Thefts
202119008311,2021-02-14,04:42:03,5600 BLOCK VINE ST,Thefts
202118004965,2021-01-25,23:11:27,4300 BLOCK PINE ST,Robbery Firearm
202177000733,2021-02-21,07:52:00,0 BLOCK PIA WAY,Thefts
202139000090,2021-01-01,12:25:00,2800 BLOCK FOX ST,Thefts
202102014106,2021-04-07,12:41:00,ROOSEVELT INN @ 7600 E ROOSEVELT BLVD ,Burglary Residential
202106001298,2021-01-11,14:23:00,300 BLOCK N 13TH ST,Thefts
202103008120,2021-02-21,20:56:00,0 BLOCK MIFFLIN ST,Thefts
202102014140,2021-04-07,17:26:00,700 BLOCK ADAMS AV,Thefts
202125000247,2021-01-02,06:49:31,500 BLOCK W LEHIGH AV,Burglary Non-Residential
202118019011,2021-04-07,15:00:00,0 BLOCK S 57TH ST,Theft from Vehicle
202114013967,2021-03-17,11:34:00,100 BLOCK W DUVAL ST,Motor Vehicle Theft
202105002749,2021-03-03,13:01:43,300 BLOCK AUTUMN RIVER RUN,Vandalism/Criminal Mischief
202106003235,2021-01-25,14:12:00,400 BLOCK SPRING GARDEN ST,Thefts
202139000218,2021-01-02,11:23:53,1800 BLOCK W VENANGO ST,Aggravated Assault No Firearm
202107000123,2021-01-02,13:08:14,11000 BLOCK E ROOSEVELT BLVD,Thefts
202103003195,2021-01-21,09:28:53,0 BLOCK MIFFLIN ST,Thefts
202103003246,2021-01-21,14:01:00,0 BLOCK MIFFLIN ST,Thefts
202107001028,2021-01-14,16:22:59,1600 BLOCK GRANT AV,Theft from Vehicle
202125017370,2021-03-23,17:23:00,4200 BLOCK G ST,Thefts
202106010128,2021-03-14,09:29:00,400 BLOCK SPRING GARDEN ST,Thefts
202119011626,2021-03-01,09:29:00,5700 BLOCK RACE ST,Theft from Vehicle
202103001406,2021-01-10,11:36:00,0 BLOCK MIFFLIN ST,Thefts
202103001432,2021-01-10,15:23:00,0 BLOCK MIFFLIN ST,Thefts
202103001475,2021-01-10,17:54:00,0 BLOCK MIFFLIN ST,Thefts
202105000046,2021-01-02,11:32:38,8200 BLOCK HENRY AV,Thefts
202124018223,2021-03-20,23:35:58,3300 BLOCK H ST,Motor Vehicle Theft
202115007631,2021-01-30,12:55:00,2000 BLOCK MC KINLEY ST,Other Assaults
202124007728,2021-02-02,20:54:00,3800 BLOCK ARAMINGO AV,Vandalism/Criminal Mischief
202115017806,2021-03-14,05:39:00,4000 BLOCK COTTMAN AVE,Burglary Non-Residential
202117000670,2021-01-09,15:38:00,600 BLOCK S BROAD ST,Thefts
202102010019,2021-03-12,12:46:14,7400 BLOCK BUSTLETON AV,Thefts
202135013264,2021-02-21,18:32:00,100 BLOCK E OLNEY AV,Thefts
202102010020,2021-03-12,12:59:24,7400 BLOCK BUSTLETON AV,Thefts
202102010021,2021-03-12,13:04:53,7400 BLOCK BUSTLETON AV,Thefts
202108006034,2021-02-27,20:54:52,3500 BLOCK ACADEMY RD,Other Assaults
202125007093,2021-02-03,21:50:00,1000 BLOCK W GLENWOOD AVE,DRIVING UNDER THE INFLUENCE
202119015023,2021-03-17,19:03:00,6000 BLOCK W OXFORD ST,All Other Offenses
202114014519,2021-03-20,12:52:00,400 BLOCK MONTANA ST,Motor Vehicle Theft
202106007061,2021-02-21,12:06:45,1300 BLOCK MARKET ST,Rape
202122010082,2021-02-21,19:08:15,N 15TH ST  /  W CUMBERLAND ST,Thefts
202105004963,2021-04-18,11:18:00,400 BLOCK HERMIT ST,Theft from Vehicle
202102012691,2021-03-29,18:27:00,2000 BLOCK LONGSHORE AVE,Robbery No Firearm
202109011195,2021-04-18,13:52:00,2000 BLOCK MARKET ST,Thefts
202119013195,2021-03-09,09:43:00,5200 BLOCK MARKET ST,All Other Offenses
202119013270,2021-03-09,14:50:00,5200 BLOCK MARKET ST,All Other Offenses
202106016134,2021-04-25,11:52:00,400 BLOCK SPRING GARDEN ST,Thefts
202135018814,2021-03-12,11:32:00,200 BLOCK W SPENCER AV,All Other Offenses
202115011068,2021-02-14,14:40:48,1600 BLOCK ALLENGROVE ST,Thefts
202108007548,2021-03-13,16:41:08,8300 BLOCK STATE RD,Aggravated Assault No Firearm
202135013458,2021-02-22,13:03:00,2000 BLOCK W NEDRO AVE,Other Assaults
202106016172,2021-04-25,19:41:00,400 BLOCK SPRING GARDEN ST,Thefts
202109011200,2021-04-18,15:22:00,2000 BLOCK MARKET ST,Thefts
202119006159,2021-02-03,11:49:17,0 BLOCK N 60TH ST,Other Assaults
202124024636,2021-04-16,12:12:00,2900 BLOCK KENSINGTON AV,Robbery No Firearm
202101004696,2021-03-20,17:04:00,2800 BLOCK CANTRELL ST,Motor Vehicle Theft
